timestamp,asset_id,motor_temperature,intake_pressure,discharge_pressure,motor_current,radial_vibration,axial_vibration,flow_rate,efficiency
2026-01-01T06:30:00,ESP-Well-001,95.21,333.63,858.89,67.03,0.96,0.39,2684.75,77.99
2026-01-01T06:40:00,ESP-Well-001,90.67,256.04,968.34,64.36,0.77,0.79,2701.59,85.64
2026-01-01T06:50:00,ESP-Well-001,101.99,436.11,1076.41,68.88,1.14,0.29,3175.26,81.47
2026-01-01T07:00:00,ESP-Well-001,111.54,252.14,1187.28,68.07,0.91,0.21,2977.65,86.41
2026-01-01T07:10:00,ESP-Well-001,114.31,262.87,825.72,66.39,1.14,0.41,2908.27,82.36
2026-01-01T07:20:00,ESP-Well-001,114.67,323.24,1031.36,56.54,0.73,0.21,2806.68,85.76
2026-01-01T07:30:00,ESP-Well-001,90.08,360.41,944.59,69.02,0.85,0.69,2830.1,75.3
2026-01-01T07:40:00,ESP-Well-001,95.48,317.99,863.01,55.3,1.29,0.67,3305.82,75.22
2026-01-01T07:50:00,ESP-Well-001,105.26,318.03,924.92,67.37,1.34,0.46,2551.69,85.53
2026-01-01T08:00:00,ESP-Well-001,106.16,250.57,810.34,64.26,1.29,0.56,2902.26,82.67
2026-01-01T08:10:00,ESP-Well-001,104.37,263.57,1150.89,60.38,0.76,0.62,3470.04,79.75
2026-01-01T08:20:00,ESP-Well-001,104.76,375.69,1117.93,69.55,0.66,0.65,3457.43,78.21
2026-01-01T08:30:00,ESP-Well-001,102.17,429.75,889.85,66.33,1.18,0.57,3099.01,76.92
2026-01-01T08:40:00,ESP-Well-001,97.42,400.12,1064.22,55.67,0.61,0.79,3197.11,77.94
2026-01-01T08:50:00,ESP-Well-001,107.69,328.03,872.23,69.26,0.91,0.77,2788.21,80.91
2026-01-01T09:00:00,ESP-Well-001,99.71,324.86,1054.61,69.73,0.77,0.41,3088.98,83.08
2026-01-01T09:10:00,ESP-Well-001,113.98,413.55,847.01,64.72,0.88,0.36,3468.87,84.0
2026-01-01T09:20:00,ESP-Well-001,108.27,299.25,995.72,60.18,0.71,0.28,2930.22,78.54
2026-01-01T09:30:00,ESP-Well-001,97.44,366.48,1029.07,52.04,1.06,0.73,3289.26,76.34
2026-01-01T09:40:00,ESP-Well-001,87.15,331.69,938.56,50.02,1.14,0.35,3461.35,86.75
2026-01-01T09:50:00,ESP-Well-001,85.23,399.14,831.33,54.75,1.1,0.63,2944.45,75.96
2026-01-01T10:00:00,ESP-Well-001,87.54,418.03,1087.18,66.3,1.02,0.73,2869.84,82.27
2026-01-01T10:10:00,ESP-Well-001,95.29,336.9,1195.63,62.82,0.72,0.72,2620.43,78.09
2026-01-01T10:20:00,ESP-Well-001,113.88,352.9,1020.67,68.34,0.72,0.28,3414.37,80.65
2026-01-01T10:30:00,ESP-Well-001,104.7,406.23,1176.25,65.04,0.8,0.31,3438.45,85.73
2026-01-01T10:40:00,ESP-Well-001,96.67,274.9,880.61,57.04,1.0,0.24,2898.29,81.0
2026-01-01T10:50:00,ESP-Well-001,102.42,322.88,832.02,59.92,1.18,0.48,2672.09,80.71
2026-01-01T11:00:00,ESP-Well-001,112.53,287.2,874.55,69.37,0.71,0.27,2508.89,76.4
2026-01-01T11:10:00,ESP-Well-001,93.69,294.7,1097.62,51.42,0.73,0.49,3050.36,81.22
2026-01-01T11:20:00,ESP-Well-001,107.17,268.63,988.4,55.47,0.94,0.73,3478.97,80.86
2026-01-01T11:30:00,ESP-Well-001,98.15,371.04,971.83,62.09,0.94,0.6,2915.17,82.75
2026-01-01T11:40:00,ESP-Well-001,106.94,352.36,1111.14,69.71,1.03,0.6,2555.09,87.57
2026-01-01T11:50:00,ESP-Well-001,94.5,399.99,1116.13,60.56,0.67,0.65,2788.32,86.78
2026-01-01T12:00:00,ESP-Well-001,92.55,337.51,1054.49,63.53,0.99,0.67,2999.6,83.39
2026-01-01T12:10:00,ESP-Well-001,100.87,447.63,1046.41,69.62,0.75,0.24,2876.56,80.25
2026-01-01T12:20:00,ESP-Well-001,100.47,421.94,976.78,66.43,0.86,0.41,3498.83,85.81
2026-01-01T12:30:00,ESP-Well-001,101.09,327.32,1005.01,60.94,0.62,0.47,3269.24,87.31
2026-01-01T12:40:00,ESP-Well-001,110.36,303.87,1061.18,60.3,0.69,0.53,3308.53,86.2
2026-01-01T12:50:00,ESP-Well-001,95.4,316.4,1164.53,50.97,0.93,0.52,3177.24,80.18
2026-01-01T13:00:00,ESP-Well-001,93.12,370.08,1187.11,65.0,0.96,0.23,2853.11,85.79
2026-01-01T13:10:00,ESP-Well-001,113.27,253.2,1029.07,63.49,1.07,0.36,2536.85,76.11
2026-01-01T13:20:00,ESP-Well-001,100.77,416.14,908.51,53.82,0.69,0.43,2723.17,83.16
2026-01-01T13:30:00,ESP-Well-001,89.12,406.85,1129.99,57.67,1.22,0.32,3289.3,86.15
2026-01-01T13:40:00,ESP-Well-001,95.62,355.25,1073.62,65.34,1.2,0.23,2504.29,77.31
2026-01-01T13:50:00,ESP-Well-001,109.61,428.57,1112.65,51.22,1.4,0.6,3244.81,76.3
2026-01-01T14:00:00,ESP-Well-001,89.78,258.38,1104.7,52.78,0.72,0.79,2537.56,82.93
2026-01-01T14:10:00,ESP-Well-001,94.69,266.62,1045.49,61.19,0.79,0.68,3198.51,83.85
2026-01-01T14:20:00,ESP-Well-001,103.16,292.04,1015.67,54.26,1.14,0.41,2981.45,81.64
2026-01-01T14:30:00,ESP-Well-001,95.85,307.2,842.22,54.54,1.2,0.33,2905.72,79.24
2026-01-01T14:40:00,ESP-Well-001,102.42,296.96,940.41,55.86,0.73,0.59,2777.43,84.17
2026-01-01T14:50:00,ESP-Well-001,108.73,438.68,897.4,69.12,1.16,0.41,2721.67,77.22
2026-01-01T15:00:00,ESP-Well-001,87.97,337.38,904.19,53.92,1.0,0.22,2822.3,82.25
2026-01-01T15:10:00,ESP-Well-001,95.46,358.56,1135.12,65.69,0.7,0.4,2502.03,85.56
2026-01-01T15:20:00,ESP-Well-001,105.45,319.52,1001.17,55.99,1.06,0.71,3126.18,87.66
2026-01-01T15:30:00,ESP-Well-001,96.29,266.7,1147.85,52.81,0.73,0.43,3417.81,76.99
2026-01-01T15:40:00,ESP-Well-001,100.51,316.06,1092.2,57.9,1.1,0.38,2750.13,77.83
2026-01-01T15:50:00,ESP-Well-001,108.51,368.26,1081.54,59.28,1.16,0.27,2614.68,81.43
2026-01-01T16:00:00,ESP-Well-001,85.54,446.33,826.26,65.51,1.1,0.28,2526.63,75.8
2026-01-01T16:10:00,ESP-Well-001,85.78,305.04,843.64,68.57,0.99,0.5,2526.66,79.57
2026-01-01T16:20:00,ESP-Well-001,110.81,415.63,1102.81,62.87,0.73,0.71,3167.38,75.22
2026-01-01T16:30:00,ESP-Well-001,108.55,257.67,808.63,61.68,1.01,0.63,2516.01,77.68
2026-01-01T16:40:00,ESP-Well-001,93.44,367.8,803.14,69.81,0.82,0.68,3047.1,80.46
2026-01-01T16:50:00,ESP-Well-001,91.3,353.54,976.19,54.24,1.32,0.45,2952.31,75.76
2026-01-01T17:00:00,ESP-Well-001,104.49,351.4,1031.21,58.56,0.84,0.72,3136.05,79.38
2026-01-01T17:10:00,ESP-Well-001,104.88,370.62,928.78,62.97,0.6,0.55,2759.68,81.73
2026-01-01T17:20:00,ESP-Well-001,95.61,336.42,1106.85,69.28,1.08,0.54,3381.59,75.19
2026-01-01T17:30:00,ESP-Well-001,107.63,298.95,1019.94,56.34,0.79,0.39,3282.75,81.37
2026-01-01T17:40:00,ESP-Well-001,95.0,345.67,1140.26,68.79,1.26,0.32,3428.52,75.93
2026-01-01T17:50:00,ESP-Well-001,102.42,431.01,1011.32,59.32,1.27,0.76,2741.33,76.64
2026-01-01T18:00:00,ESP-Well-001,99.44,404.48,1135.59,64.1,0.77,0.27,2820.0,81.04
2026-01-01T18:10:00,ESP-Well-001,105.06,315.62,1156.27,62.16,0.69,0.42,2571.3,84.39
2026-01-01T18:20:00,ESP-Well-001,114.36,432.1,804.31,60.4,1.13,0.33,3006.17,76.39
2026-01-01T18:30:00,ESP-Well-001,102.62,271.87,1047.66,62.18,1.25,0.79,2778.8,87.86
2026-01-01T18:40:00,ESP-Well-001,96.14,420.84,1154.12,67.43,1.06,0.25,2723.67,76.44
2026-01-01T18:50:00,ESP-Well-001,103.08,368.81,1158.51,63.97,1.39,0.6,3040.01,84.86
2026-01-01T19:00:00,ESP-Well-001,91.58,391.75,887.56,52.97,1.15,0.56,3011.61,82.33
2026-01-01T19:10:00,ESP-Well-001,88.61,309.77,965.02,59.01,0.78,0.38,3449.66,82.77
2026-01-01T19:20:00,ESP-Well-001,89.85,386.69,958.3,62.08,1.03,0.34,3274.13,86.35
2026-01-01T19:30:00,ESP-Well-001,109.18,297.7,825.45,53.12,1.12,0.44,2508.02,75.19
2026-01-01T19:40:00,ESP-Well-001,88.29,427.2,1099.21,61.58,0.93,0.67,3092.08,83.99
2026-01-01T19:50:00,ESP-Well-001,85.39,413.94,884.69,54.43,1.23,0.43,3019.58,86.63
2026-01-01T20:00:00,ESP-Well-001,99.24,426.83,856.03,66.14,1.33,0.76,2986.66,80.87
2026-01-01T20:10:00,ESP-Well-001,95.07,311.71,1051.72,65.75,1.14,0.43,3082.01,83.1
2026-01-01T20:20:00,ESP-Well-001,105.7,335.03,1103.84,60.88,1.29,0.45,3147.81,75.67
2026-01-01T20:30:00,ESP-Well-001,107.58,308.16,876.97,55.95,0.97,0.26,2618.54,79.64
2026-01-01T20:40:00,ESP-Well-001,107.25,299.74,1020.62,60.96,0.85,0.29,2840.72,77.48
2026-01-01T20:50:00,ESP-Well-001,95.77,349.32,1133.92,60.77,0.7,0.44,2664.97,81.26
2026-01-01T21:00:00,ESP-Well-001,101.66,376.93,1154.45,54.23,1.1,0.8,2754.77,81.06
2026-01-01T21:10:00,ESP-Well-001,108.24,340.4,1087.95,51.09,0.87,0.29,2859.02,83.5
2026-01-01T21:20:00,ESP-Well-001,92.15,417.83,1019.51,58.41,1.35,0.76,2920.74,82.52
2026-01-01T21:30:00,ESP-Well-001,87.42,346.27,888.21,63.11,1.17,0.74,2706.44,86.38
2026-01-01T21:40:00,ESP-Well-001,102.05,322.76,1057.74,63.33,0.82,0.35,2726.29,77.0
2026-01-01T21:50:00,ESP-Well-001,91.23,389.46,824.11,56.14,1.09,0.25,3001.54,76.23
2026-01-01T22:00:00,ESP-Well-001,109.23,444.4,1159.9,67.92,0.67,0.47,2887.3,80.96
2026-01-01T22:10:00,ESP-Well-001,112.32,385.62,1092.77,54.97,1.01,0.47,2629.87,79.76
2026-01-01T22:20:00,ESP-Well-001,111.24,396.58,944.04,59.93,0.64,0.55,2960.37,75.86
2026-01-01T22:30:00,ESP-Well-001,114.55,361.8,1107.38,51.72,1.26,0.61,3178.29,78.13
2026-01-01T22:40:00,ESP-Well-001,108.53,424.26,1080.04,60.99,1.05,0.69,3436.5,76.38
2026-01-01T22:50:00,ESP-Well-001,107.62,325.41,880.31,52.6,1.01,0.67,3132.92,83.71
2026-01-01T23:00:00,ESP-Well-001,113.88,275.47,848.33,56.33,0.78,0.63,2975.25,78.88
2026-01-01T23:10:00,ESP-Well-001,110.53,289.88,872.96,65.86,1.15,0.41,2512.46,84.8
2026-01-01T23:20:00,ESP-Well-001,89.94,301.03,1080.32,63.28,0.85,0.46,2740.95,86.87
2026-01-01T23:30:00,ESP-Well-001,111.65,371.78,1181.96,67.02,1.27,0.73,2886.16,81.4
2026-01-01T23:40:00,ESP-Well-001,89.6,348.55,1075.54,54.65,1.23,0.74,2881.36,76.75
2026-01-01T23:50:00,ESP-Well-001,92.84,325.67,1017.59,61.45,0.96,0.63,2827.5,87.6
2026-01-02T00:00:00,ESP-Well-001,110.46,433.67,919.62,68.94,0.92,0.41,2772.52,75.43
2026-01-02T00:10:00,ESP-Well-001,93.48,431.77,851.06,68.62,0.98,0.69,3082.64,79.84
2026-01-02T00:20:00,ESP-Well-001,91.14,426.63,931.11,51.17,0.76,0.54,3124.12,78.28
2026-01-02T00:30:00,ESP-Well-001,103.85,438.69,1093.84,62.67,0.79,0.65,2813.38,75.81
2026-01-02T00:40:00,ESP-Well-001,102.16,390.53,1121.93,55.3,1.27,0.65,3079.73,87.14
2026-01-02T00:50:00,ESP-Well-001,91.62,320.21,819.07,56.48,1.28,0.73,3080.78,75.72
2026-01-02T01:00:00,ESP-Well-001,113.45,417.79,866.44,57.97,0.74,0.62,3167.09,85.42
2026-01-02T01:10:00,ESP-Well-001,94.71,389.13,950.12,50.86,0.96,0.36,2932.66,83.31
2026-01-02T01:20:00,ESP-Well-001,89.66,359.01,1149.07,51.1,1.12,0.45,3153.76,83.4
2026-01-02T01:30:00,ESP-Well-001,107.28,317.96,853.94,59.24,0.75,0.63,3321.54,77.32
2026-01-02T01:40:00,ESP-Well-001,111.42,304.84,1135.8,53.66,1.17,0.57,3453.99,85.54
2026-01-02T01:50:00,ESP-Well-001,94.3,446.08,1162.45,58.69,1.12,0.22,3005.5,87.72
2026-01-02T02:00:00,ESP-Well-001,108.1,441.74,1149.99,66.91,0.7,0.69,2546.59,86.1
2026-01-02T02:10:00,ESP-Well-001,107.64,367.59,1093.41,69.59,0.71,0.49,2622.36,75.93
2026-01-02T02:20:00,ESP-Well-001,108.74,365.98,1038.23,52.32,1.36,0.25,2793.28,82.68
2026-01-02T02:30:00,ESP-Well-001,103.6,292.86,1086.74,59.24,1.19,0.54,2516.16,86.3
2026-01-02T02:40:00,ESP-Well-001,104.48,298.65,1114.16,64.55,1.26,0.72,2905.2,81.26
2026-01-02T02:50:00,ESP-Well-001,97.25,377.64,1164.63,67.52,1.1,0.52,2735.01,82.86
2026-01-02T03:00:00,ESP-Well-001,86.33,273.73,1083.41,57.81,1.11,0.73,2592.91,77.17
2026-01-02T03:10:00,ESP-Well-001,103.35,376.75,939.7,55.95,0.79,0.55,3275.72,84.08
2026-01-02T03:20:00,ESP-Well-001,114.35,380.46,1036.24,66.74,0.83,0.73,3021.76,86.57
2026-01-02T03:30:00,ESP-Well-001,102.78,375.21,1177.51,55.47,1.0,0.58,2599.21,87.77
2026-01-02T03:40:00,ESP-Well-001,106.66,331.09,1187.98,57.55,0.91,0.53,3364.23,83.7
2026-01-02T03:50:00,ESP-Well-001,87.18,322.07,941.32,51.84,0.66,0.79,2675.36,75.63
2026-01-02T04:00:00,ESP-Well-001,114.31,325.48,1009.48,54.34,1.29,0.73,2588.99,78.22
2026-01-02T04:10:00,ESP-Well-001,114.48,369.95,851.5,50.95,0.82,0.63,3374.64,75.52
2026-01-02T04:20:00,ESP-Well-001,112.14,277.7,827.34,69.52,0.98,0.35,2632.82,78.93
2026-01-02T04:30:00,ESP-Well-001,93.38,394.32,978.57,54.07,0.7,0.74,3152.14,79.25
2026-01-02T04:40:00,ESP-Well-001,91.49,333.77,996.0,69.77,1.09,0.37,3034.44,77.81
2026-01-02T04:50:00,ESP-Well-001,97.04,320.83,1159.84,51.72,0.97,0.62,3250.05,85.48
2026-01-02T05:00:00,ESP-Well-001,86.24,319.22,1128.08,67.03,1.35,0.43,3239.88,80.6
2026-01-02T05:10:00,ESP-Well-001,104.1,285.84,1020.79,61.73,1.21,0.67,2954.83,85.61
2026-01-02T05:20:00,ESP-Well-001,94.85,387.76,866.27,51.86,0.71,0.21,2817.68,87.29
2026-01-02T05:30:00,ESP-Well-001,104.02,387.53,962.84,62.25,0.97,0.33,3441.65,86.41
2026-01-02T05:40:00,ESP-Well-001,113.18,388.7,843.24,59.59,0.65,0.37,2988.79,87.87
2026-01-02T05:50:00,ESP-Well-001,107.31,374.85,1165.11,60.97,0.71,0.79,3071.45,77.68
2026-01-02T06:00:00,ESP-Well-001,88.62,437.23,972.81,68.39,1.39,0.52,3417.81,85.51
2026-01-02T06:10:00,ESP-Well-001,89.11,331.24,1054.39,62.45,1.37,0.36,3088.79,85.06
2026-01-02T06:20:00,ESP-Well-001,89.17,259.77,830.59,53.86,0.9,0.47,2766.71,83.23
2026-01-02T06:30:00,ESP-Well-001,92.28,266.21,1107.44,54.54,0.76,0.38,2544.41,78.43
2026-01-02T06:40:00,ESP-Well-001,92.82,306.09,1159.45,56.38,0.67,0.66,3354.61,76.7
2026-01-02T06:50:00,ESP-Well-001,101.53,325.17,853.78,53.65,1.29,0.45,2505.69,75.34
2026-01-02T07:00:00,ESP-Well-001,92.45,303.83,1191.85,68.41,1.34,0.4,2912.38,77.92
2026-01-02T07:10:00,ESP-Well-001,86.65,412.22,1008.6,66.59,0.95,0.28,3299.48,80.85
2026-01-02T07:20:00,ESP-Well-001,104.77,445.17,1008.83,60.89,0.75,0.43,2935.79,87.65
2026-01-02T07:30:00,ESP-Well-001,96.29,366.07,1199.35,67.06,0.64,0.67,2871.37,85.06
2026-01-02T07:40:00,ESP-Well-001,110.75,260.82,1024.8,64.65,0.7,0.23,2936.31,85.18
2026-01-02T07:50:00,ESP-Well-001,105.25,409.91,893.49,61.67,0.84,0.48,3058.41,75.32
2026-01-02T08:00:00,ESP-Well-001,86.22,250.54,1034.18,60.09,0.65,0.58,2849.87,76.23
2026-01-02T08:10:00,ESP-Well-001,112.9,270.59,800.9,50.0,0.93,0.42,2943.8,81.77
2026-01-02T08:20:00,ESP-Well-001,85.8,280.67,1117.71,60.14,0.92,0.66,2874.05,87.61
2026-01-02T08:30:00,ESP-Well-001,99.27,392.13,1164.63,63.41,0.95,0.24,2661.82,82.77
2026-01-02T08:40:00,ESP-Well-001,98.28,435.15,1125.86,60.68,1.3,0.68,2629.54,82.72
2026-01-02T08:50:00,ESP-Well-001,97.71,332.26,882.96,68.15,0.95,0.25,2968.15,87.34
2026-01-02T09:00:00,ESP-Well-001,111.04,297.33,1041.91,65.1,1.24,0.66,2755.42,81.49
2026-01-02T09:10:00,ESP-Well-001,88.6,418.16,823.6,69.25,1.39,0.74,3019.3,78.17
2026-01-02T09:20:00,ESP-Well-001,90.66,372.68,1175.82,58.02,1.4,0.43,2682.97,81.89
2026-01-02T09:30:00,ESP-Well-001,103.76,330.24,1065.39,69.91,1.09,0.69,3183.16,80.92
2026-01-02T09:40:00,ESP-Well-001,109.4,417.61,869.12,55.11,0.98,0.4,2795.03,77.2
2026-01-02T09:50:00,ESP-Well-001,91.84,260.46,1022.19,59.58,1.37,0.25,3099.71,84.37
2026-01-02T10:00:00,ESP-Well-001,100.87,274.64,1064.69,62.23,0.65,0.79,2702.65,77.01
2026-01-02T10:10:00,ESP-Well-001,108.39,430.76,916.36,58.49,1.13,0.35,2601.99,82.88
2026-01-02T10:20:00,ESP-Well-001,96.94,328.84,999.43,68.18,1.24,0.56,3358.66,83.15
2026-01-02T10:30:00,ESP-Well-001,102.38,359.25,1091.18,67.08,1.06,0.76,2796.79,77.89
2026-01-02T10:40:00,ESP-Well-001,111.37,396.11,845.5,61.55,0.9,0.53,3164.07,84.43
2026-01-02T10:50:00,ESP-Well-001,92.49,390.15,1100.66,59.87,0.66,0.58,3207.81,82.65
2026-01-02T11:00:00,ESP-Well-001,97.45,315.63,950.14,58.1,1.0,0.65,3196.99,75.36
2026-01-02T11:10:00,ESP-Well-001,97.0,336.76,1059.47,66.63,0.92,0.76,2972.12,78.32
2026-01-02T11:20:00,ESP-Well-001,109.13,448.2,1181.74,60.5,1.05,0.5,2785.17,83.57
2026-01-02T11:30:00,ESP-Well-001,108.57,381.24,1072.12,69.98,0.81,0.78,2892.27,87.43
2026-01-02T11:40:00,ESP-Well-001,95.4,385.14,940.48,63.77,0.87,0.25,2699.47,85.79
2026-01-02T11:50:00,ESP-Well-001,109.3,413.96,1172.22,66.27,0.7,0.68,3299.06,85.37
2026-01-02T12:00:00,ESP-Well-001,100.86,374.81,1028.6,51.04,1.37,0.76,2840.7,84.48
2026-01-02T12:10:00,ESP-Well-001,112.06,416.06,977.79,67.2,1.29,0.61,2841.08,81.23
2026-01-02T12:20:00,ESP-Well-001,111.17,356.04,1132.47,64.4,0.65,0.53,3021.3,84.8
2026-01-02T12:30:00,ESP-Well-001,97.78,378.5,845.96,66.82,1.02,0.36,3127.95,76.88
2026-01-02T12:40:00,ESP-Well-001,110.81,308.51,829.1,67.02,1.35,0.4,3287.96,77.13
2026-01-02T12:50:00,ESP-Well-001,86.3,424.41,1133.78,66.94,0.81,0.23,3066.76,78.22
2026-01-02T13:00:00,ESP-Well-001,90.72,373.77,1010.89,55.12,1.19,0.76,2716.33,82.02
2026-01-02T13:10:00,ESP-Well-001,91.6,444.01,835.06,51.08,0.94,0.23,2820.45,78.06
2026-01-02T13:20:00,ESP-Well-001,114.86,393.99,1005.13,61.93,1.01,0.57,3147.83,79.74
2026-01-02T13:30:00,ESP-Well-001,113.02,383.62,1027.36,66.85,1.27,0.36,2641.41,84.05
2026-01-02T13:40:00,ESP-Well-001,103.87,381.78,947.54,61.43,1.05,0.38,2836.66,75.37
2026-01-02T13:50:00,ESP-Well-001,94.92,338.28,995.72,63.53,0.65,0.68,2799.46,85.14
2026-01-02T14:00:00,ESP-Well-001,91.95,326.38,904.18,58.81,0.84,0.21,3432.26,80.84
2026-01-02T14:10:00,ESP-Well-001,112.89,410.57,842.49,66.84,0.82,0.48,3040.02,76.84
2026-01-02T14:20:00,ESP-Well-001,86.39,449.81,967.12,63.75,1.36,0.5,3167.82,78.72
2026-01-02T14:30:00,ESP-Well-001,96.18,315.35,991.68,66.51,0.65,0.27,3337.03,79.11
2026-01-02T14:40:00,ESP-Well-001,106.36,266.67,891.07,54.39,0.65,0.63,2695.84,78.03
2026-01-02T14:50:00,ESP-Well-001,93.56,329.68,1081.95,56.9,0.7,0.48,2732.71,86.89
2026-01-02T15:00:00,ESP-Well-001,106.53,266.82,1048.02,69.72,1.22,0.38,2759.93,87.9
2026-01-02T15:10:00,ESP-Well-001,92.47,385.74,1137.74,50.52,0.72,0.37,2647.8,77.93
2026-01-02T15:20:00,ESP-Well-001,87.29,286.78,1182.65,58.72,1.04,0.67,2980.98,80.6
2026-01-02T15:30:00,ESP-Well-001,99.09,265.63,823.13,64.02,0.77,0.5,2561.59,87.21
2026-01-02T15:40:00,ESP-Well-001,86.85,372.1,812.13,50.58,0.8,0.68,3309.1,86.8
2026-01-02T15:50:00,ESP-Well-001,87.44,262.96,837.4,59.64,0.88,0.59,2883.4,85.49
2026-01-02T16:00:00,ESP-Well-001,114.42,446.69,1178.3,56.74,0.73,0.23,2505.12,86.76
2026-01-02T16:10:00,ESP-Well-001,94.95,381.58,954.71,54.61,1.1,0.26,3256.56,81.49
2026-01-02T16:20:00,ESP-Well-001,102.91,330.01,1022.7,63.66,0.68,0.58,3463.25,86.43
2026-01-02T16:30:00,ESP-Well-001,105.47,381.59,956.35,50.86,1.2,0.41,3049.85,87.83
2026-01-02T16:40:00,ESP-Well-001,110.0,262.72,1119.99,53.42,1.39,0.24,2573.87,78.17
2026-01-02T16:50:00,ESP-Well-001,85.58,262.86,852.98,53.14,1.04,0.26,2753.11,83.51
2026-01-02T17:00:00,ESP-Well-001,100.02,446.72,1038.96,65.75,0.77,0.45,2919.99,81.91
2026-01-02T17:10:00,ESP-Well-001,107.18,417.02,990.6,69.86,0.92,0.69,3132.73,82.23
2026-01-02T17:20:00,ESP-Well-001,86.15,337.1,1009.78,56.13,0.86,0.41,2620.29,78.51
